,ID,Country,Managed By,Fulfill Via,Shipment Mode,PQ_Sent_Date,PO_Sent_Date,Scheduled Delivery Date,Delivered_Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Unit of Measure (Per Pack),Quantity,Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Insurance_USD,Freight_Cost_USD,Weight_KG,Year,Lead_Time_Days,Delivery_Delay_Days,On_Time_Flag,Procurement_Days,Reporting_Lag_Days,Freight_Cost_Per_KG,Freight_Pct_of_Value,Total_Landed_Cost,Order_Year,Order_Month,Order_Quarter,Order_Size_Category
140,1299,Rwanda,PMO - US,Direct Drop,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,CIPLA LIMITED,30,71577,1087970.4,15.2,0.51,"Cipla, Goa, India",No,1740.5864742268038,64179.42,7416.0,2006.0,67.0,0.0,True,,0.0,8.65418284789644,0.058990042376152886,1153890.4064742266,2006.0,12.0,4.0,Large
141,1300,Rwanda,PMO - US,Direct Drop,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,CIPLA LIMITED,60,5605,202340.5,36.1,0.6,"Cipla, Patalganga, India",No,323.71389652539136,64179.42,7416.0,2006.0,67.0,0.0,True,,0.0,8.65418284789644,0.31718523973203583,266843.63389652537,2006.0,12.0,4.0,Medium
142,1303,Ethiopia,PMO - US,Direct Drop,Air,,2006-12-14,2006-12-28,2006-12-28,2006-12-28,HRDT,HIV test,Abbott GmbH & Co. KG,100,200,16000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,25.5975563192058,,,2006.0,14.0,0.0,True,,0.0,,,,2006.0,12.0,4.0,Small
143,1306,Vietnam,PMO - US,Direct Drop,Air,,2007-02-07,2007-08-24,2007-08-24,2007-08-24,ARV,Adult,CIPLA LIMITED,60,25000,187500.0,7.5,0.12,"Cipla, Goa, India",Yes,300.0,21439.59,2348.0,2007.0,198.0,0.0,True,,0.0,9.131000851788757,0.11434448,209239.59,2007.0,2.0,1.0,Large
144,1307,Nigeria,PMO - US,Direct Drop,Air,,,2007-03-15,2007-03-30,2007-03-30,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),40,375,28500.0,76.0,1.9,Bio-Rad Laboratories,Yes,45.595647193585336,4445.75,402.0,,,15.0,False,,0.0,11.05907960199005,0.15599122807017543,32991.345647193586,,,,Small
145,1309,Ethiopia,PMO - US,Direct Drop,Air,,2006-12-14,2007-01-15,2007-01-15,2007-01-15,HRDT,HIV test,Abbott GmbH & Co. KG,100,4650,372000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,595.1431844215349,24859.45,1707.0,2006.0,32.0,0.0,True,,0.0,14.563239601640305,0.06682647849462366,397454.59318442154,2006.0,12.0,4.0,Medium
146,1337,Côte d'Ivoire,PMO - US,Direct Drop,Air,,2007-05-09,2007-10-23,2007-10-23,2007-10-23,ARV,Pediatric,BRISTOL-MYERS SQUIBB,60,1577,14981.5,9.5,0.16,"BMS Meymac, France",Yes,23.97,,306.0,2007.0,167.0,0.0,True,,0.0,,,,2007.0,5.0,2.0,Medium
147,1347,Nigeria,PMO - US,Direct Drop,Air,,,2007-09-07,2007-09-07,2007-09-07,HRDT,HIV test,Abbott GmbH & Co. KG,100,3500,280000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,448.0,5858.57,1194.0,,,0.0,True,,0.0,4.9066750418760465,0.020923464285714285,286306.57,,,,Medium
148,1350,Côte d'Ivoire,PMO - US,Direct Drop,Air,,2007-07-13,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,BRISTOL-MYERS SQUIBB,60,4270,40565.0,9.5,0.16,"BMS Meymac, France",No,64.9,,,2007.0,81.0,0.0,True,,0.0,,,,2007.0,7.0,3.0,Medium
149,1356,Vietnam,PMO - US,Direct Drop,Air,,2007-07-03,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,Aurobindo Pharma Limited,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",Yes,3.07,13762.41,960.0,2007.0,91.0,0.0,True,,0.0,14.33584375,7.167921875,15685.48,2007.0,7.0,3.0,Small
150,1357,Vietnam,PMO - US,Direct Drop,Air,,2007-07-03,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,Aurobindo Pharma Limited,240,1000,2100.0,2.1,0.01,"Aurobindo Unit III, India",No,3.36,13762.41,960.0,2007.0,91.0,0.0,True,,0.0,14.33584375,6.553528571428571,15865.77,2007.0,7.0,3.0,Small
151,1358,Vietnam,PMO - US,Direct Drop,Air,,2007-07-04,2007-10-15,2007-10-15,2007-10-15,ARV,Pediatric,Aurobindo Pharma Limited,240,1000,2100.0,2.1,0.01,"Aurobindo Unit III, India",No,3.36,4193.49,941.0,2007.0,103.0,0.0,True,,0.0,4.456418703506907,1.9969,6296.849999999999,2007.0,7.0,3.0,Small
152,1359,Vietnam,PMO - US,Direct Drop,Air,,2007-07-04,2007-10-15,2007-10-15,2007-10-15,ARV,Adult,Aurobindo Pharma Limited,60,3000,40500.0,13.5,0.22,"Aurobindo Unit III, India",Yes,64.8,4454.62,332.0,2007.0,103.0,0.0,True,,0.0,13.417530120481928,0.10999061728395061,45019.420000000006,2007.0,7.0,3.0,Medium
153,1360,Vietnam,PMO - US,Direct Drop,Air,,2007-07-04,2007-11-23,2007-11-23,2007-11-23,ARV,Adult,Aurobindo Pharma Limited,30,22500,277425.0,12.33,0.41,"Aurobindo Unit III, India",Yes,443.88,16095.39,1955.0,2007.0,142.0,0.0,True,,0.0,8.232936061381073,0.05801708569883752,293964.27,2007.0,7.0,3.0,Large
154,1361,Vietnam,PMO - US,Direct Drop,Air,,2007-07-03,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,65.75,1767.38,117.0,2007.0,55.0,0.0,True,,0.0,15.105811965811967,0.04300717848886726,42928.13,2007.0,7.0,3.0,Small
155,1383,Tanzania,PMO - US,Direct Drop,Air,,,2007-09-19,2007-09-19,2007-09-19,HRDT,HIV test,"Standard Diagnostics, Inc.",25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,320.0,25165.3,3336.0,,,0.0,True,,0.0,7.5435551558753,0.1258265,225485.3,,,,Medium
156,1502,Rwanda,PMO - US,Direct Drop,Air,,2007-11-12,2008-01-28,2008-01-28,2008-01-28,ARV,Adult,ASPEN PHARMACARE,30,1609,27353.0,17.0,0.57,"Aspen-OSD, Port Elizabeth, SA",Yes,43.76,7922.24,157.0,2007.0,77.0,0.0,True,,0.0,50.46012738853503,0.2896296567104157,35319.0,2007.0,11.0,4.0,Medium
157,10551,Côte d'Ivoire,PMO - US,From RDC,Air,,,2007-04-30,2007-04-30,2007-04-30,ARV,Adult,SCMS from RDC,60,9000,67500.0,7.5,0.12,"Cipla, Goa, India",Yes,107.98969072164947,3166.0,974.0,,,0.0,True,,0.0,3.2505133470225873,0.046903703703703704,70773.98969072165,,,,Medium
158,10567,Côte d'Ivoire,PMO - US,From RDC,Air,,,2007-06-04,2007-06-04,2007-06-04,ARV,Adult,SCMS from RDC,60,875,1881.25,2.15,0.04,"Aurobindo Unit III, India",Yes,3.00971267659412,727.0,58.0,,,0.0,True,,0.0,12.53448275862069,0.3864451827242525,2611.259712676594,,,,Small
159,1519,Vietnam,PMO - US,Direct Drop,Air,,2007-11-21,2008-03-28,2008-03-28,2008-03-28,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),336,100,18333.0,183.33,0.55,ABBVIE (Abbott) Logis. UK,Yes,29.33,2535.4,337.0,2007.0,128.0,0.0,True,,0.0,7.523442136498517,0.13829705994654448,20897.730000000003,2007.0,11.0,4.0,Small
160,1527,Nigeria,PMO - US,Direct Drop,Air,,2007-11-30,2008-01-21,2008-01-21,2008-01-21,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",20,10000,270000.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,432.0,28002.75,3336.0,2007.0,52.0,0.0,True,,0.0,8.394109712230216,0.10371388888888888,298434.75,2007.0,11.0,4.0,Medium
161,1529,Rwanda,PMO - US,Direct Drop,Air,,2007-12-03,2008-01-28,2008-01-28,2008-01-28,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),60,1099,30222.5,27.5,0.46,Mylan (formerly Matrix) Nashik,Yes,48.36,1511.25,113.0,2007.0,56.0,0.0,True,,0.0,13.373893805309734,0.050004135991397136,31782.11,2007.0,12.0,4.0,Medium
162,1530,Vietnam,PMO - US,Direct Drop,Air,,2007-12-05,2008-02-01,2008-02-01,2008-02-01,ARV,Adult,Aurobindo Pharma Limited,60,1200,2100.0,1.75,0.03,"Aurobindo Unit III, India",Yes,3.36,2429.85,125.0,2007.0,58.0,0.0,True,,0.0,19.4388,1.1570714285714285,4533.21,2007.0,12.0,4.0,Medium
163,1531,Kazakhstan,PMO - US,Direct Drop,Air,,2007-11-30,2007-12-27,2007-12-27,2007-12-27,HRDT,HIV test,Orasure Technologies Inc.,100,50,17500.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,28.0,,,2007.0,27.0,0.0,True,,0.0,,,,2007.0,11.0,4.0,Small
